Pay_in_INR,Gender,Score in Tenth,Score in Twelth,CollegeTier,GPA Score in Graduation,Score in English language,Score in Logical skill,Score in Quantitative ability,Score in Domain,Score in ComputerProgramming
350000,f,68.2,55.2,2,69.92,545,535,655,0.930370607,565
490000,f,87.2,75,2,71.4,605,635,565,0.901489571,545
360000,m,86.33,86.33,2,66.93,370,400,485,0.377551419,375
120000,m,82,72,2,64,455,425,365,0.563267824,425
470000,m,85,84,2,61,585,405,505,0.635978757,445
240000,m,90.6,78,1,62,710,565,690,0.3140565,395
200000,m,73,61,2,68.9,520,390,320,0.622642916,415
240000,m,53.6,61.2,2,65.24,385,565,525,0.538386893,415
200000,m,79.8,66.8,2,73.12,580,510,340,0.953899775,375
380000,m,77,73.4,2,77.07,355,455,515,0.563267824,425
200000,m,61,61.8,2,62.2,395,565,475,0.670743151,455
550000,m,82,88.4,2,72.46,660,460,635,0.661834476,-100
240000,m,82.46,79.67,2,69.46,395,495,470,0.971663491,-100
330000,m,85.4,68,1,69.4,765,640,680,0.875503907,395
200000,m,71,69,2,64.28,500,460,545,0.943272158,-100
280000,m,52.09,55.5,2,61.5,365,334,475,0.3118565,345
360000,f,84,94,2,82.24,565,505,515,0.901489571,545
380000,m,75.4,67.6,2,62.7,545,570,470,0.3800565,335
300000,m,86,85.4,2,75.3,755,520,655,0.2700565,405
575000,m,89,95.3,2,74.8,485,445,595,0.793580615,495
105000,m,66.5,68.77,2,77.04,430,570,470,0.356536488,635
110000,m,69,51.3,2,72,430,395,235,0.744758354,455
500000,m,85.4,71.6,2,84,555,620,575,0.911395278,725
145000,m,78.6,64.8,2,63.7,615,520,535,0.744758354,455
325000,f,86.6,88.5,2,67.17,465,510,520,-1,465
500000,m,88.8,96.5,2,81,365,385,425,0.3426565,345
100000,f,83.8,88.4,2,68,440,510,445,0.735795709,475
120000,m,63.6,60.8,2,68,440,460,405,0.486747008,385
410000,f,80.83,92.2,2,78.85,445,605,625,0.843123727,515
325000,m,58,60,2,66,345,335,445,0.3811565,-100
390000,m,77.4,78.8,2,74,675,655,615,0.538386893,-100
480000,m,88,80,2,78,455,684,635,0.974396113,615
315000,m,77.8,78,2,76,640,520,570,0.2832565,-100
150000,f,76,77,2,73,445,375,565,0.600057182,435
200000,m,85,75,2,60,675,480,500,0.842248322,425
425000,m,72.8,61.33,2,70.05,440,495,430,0.911395278,515
300000,m,79.38,74.4,2,75.9,510,545,590,0.974396113,615
350000,m,83.4,77,2,76,415,555,440,0.2887565,355
400000,m,90,71.5,2,76.5,554,695,685,0.3767565,425
100000,m,56.5,56.8,1,79.29,370,525,545,0.960903087,595
200000,m,69,65.8,2,81,520,555,605,0.414337426,-100
4000000,m,90.83,88.77,1,72.6,675,685,585,0.990008757,655
145000,m,82.3,73.2,2,71.1,545,520,390,0.725984148,375
180000,m,66,63.4,2,70.7,570,595,530,0.488347977,405
1300000,m,80,90,2,71.8,495,425,575,0.765673581,485
360000,f,90.8,88,2,81.5,395,525,605,0.982057124,-100
820000,m,82.4,76,2,82,585,665,715,0.538386893,-100
120000,f,84,78,2,70,675,555,690,0.735795709,475
300000,m,89.8,66.6,2,56.3,555,205,435,-1,-100
190000,m,58.7,50.3,2,62.5,355,375,265,0.3668565,205
325000,m,70,75,2,68,440,585,560,0.911395278,535
210000,m,74.6,63.6,2,69.92,535,485,565,0.661834476,335
240000,m,61,48,2,68.16,505,505,445,0.3778565,315
430000,f,82,73,2,63,485,355,555,-1,-100
530000,m,88.64,65.16,2,74.81,465,645,505,0.901489571,545
350000,f,78.4,79,2,75,575,485,495,0.600057182,435
150000,m,78.8,70.4,2,73,465,510,370,0.649389715,-100
100000,m,68,68,2,80,440,385,415,0.2667565,-100
240000,m,60,64,2,70,595,425,425,0.525922584,415
120000,f,75,73,2,70,505,485,445,0.538386893,245
325000,f,87,67,2,71,345,395,435,0.824666401,-100
470000,m,80.67,75.67,2,81.4,515,365,535,-1,-100
330000,m,74.8,80.1,2,79.1,640,470,565,0.765673581,485
200000,m,82,84.4,2,70,405,495,500,0.903940782,315
105000,m,69.2,58.6,2,63,605,435,505,0.538386893,305
115000,m,79,79.4,2,68.58,510,560,720,0.459015841,355
320000,m,89.5,81.4,2,60,735,510,585,0.725984148,-100
180000,m,69,52,2,64,454,475,465,0.824666401,-100
280000,m,78,91,2,64.62,405,425,380,-1,405
380000,m,88.8,93,2,88,650,610,385,0.901489571,545
300000,m,74.7,73,2,76,440,530,390,0.744758354,585
235000,m,78.16,64.83,2,63.65,560,510,450,-1,-100
200000,f,75.67,74.4,2,74.01,385,555,445,0.635978757,445
300000,m,88.4,91.5,1,75.2,605,485,650,0.3822565,425
180000,f,74,84.4,2,74.49,545,525,615,0.444617717,435
220000,f,92.8,82.3,2,78,475,555,695,0.670743151,455
310000,m,93.3,93.5,2,84,675,630,590,0.903940782,485
180000,m,86.2,73.4,2,64.5,605,500,590,0.2854565,-100
470000,m,70.4,69.2,2,70,565,635,715,0.884122512,535
500000,m,84.33,79.82,1,84.4,585,555,665,0.694479328,-100
265000,m,71.2,72,2,76.9,430,530,630,0.996744487,645
325000,m,63,64,2,70.9,455,475,475,0.842248322,635
300000,f,80,78,2,80.35,500,505,565,0.622642916,495
120000,m,68.6,64.3,2,73.5,505,575,475,0.694479328,-100
450000,f,91.6,90.2,2,74,615,610,680,0.978799293,495
235000,f,91,80,2,76,535,475,415,0.538386893,-100
335000,m,82.9,91.5,2,88.2,505,605,445,0.2942565,-100
320000,m,80.33,83,2,80,490,445,465,0.924609939,-100
150000,m,62,59.4,2,60,365,365,395,0.2645565,305
330000,m,66,74,2,75.5,310,460,620,0.783303537,-100
240000,m,75.4,74.7,2,63.1,665,665,635,0.670743151,455
350000,f,72.3,79.8,2,80,485,460,445,0.3085565,-100
505000,m,80.6,91,2,73.06,485,505,375,0.635978757,445
300000,m,78.4,69.4,2,69.53,590,450,485,0.960603252,-100
